designation,Payment_Type,level,City,State,Company_Name
Painter,Daily,beginner,Hyderabad,Telangana,"Samra, Dhaliwal and Issac"
Painter,Daily,expert,Pune,Maharashtra,Borra Group
Painter,Daily,expert,Chennai,Tamil Nadu,Vasa and Sons
Painter,Daily,expert,Mumbai,Maharashtra,Tailor LLC
Painter,Daily,expert,Bengaluru,Karnataka,"Gola, Gade and Doshi"
Painter,Daily,expert,Chennai,Tamil Nadu,"Bose, Venkatesh and Sani"
Painter,Daily,beginner,Coimbatore,Tamil Nadu,Vyas-Gaba
Painter,Daily,expert,Hyderabad,Telangana,Handa-Sawhney
Painter,Daily,novice,Bengaluru,Karnataka,Rastogi LLC
Painter,Daily,expert,Mumbai,Maharashtra,"Kapoor, Deshpande and Bahl"
Painter,Daily,beginner,Bengaluru,Karnataka,Talwar Ltd
Painter,Daily,beginner,Ahmedabad,Gujarat,"Vala, Bhalla and Chhabra"
Painter,Daily,beginner,Ahmedabad,Gujarat,"Kumer, Manda and Magar"
Painter,Daily,expert,Bengaluru,Karnataka,Taneja-Anand
Painter,Daily,beginner,Pune,Maharashtra,Chana Ltd
Painter,Daily,beginner,Chengannur,Kerala,Trivedi and Sons
Painter,Daily,expert,Pune,Maharashtra,"Sankar, Devan and Ramachandran"
Painter,Daily,expert,Bengaluru,Karnataka,Ravi-Subramanian
Painter,Daily,beginner,Bengaluru,Karnataka,"Sura, Kunda and Lad"
Painter,Daily,novice,Pune,Maharashtra,"Trivedi, Hayre and Vasa"
Painter,Daily,expert,Bengaluru,Karnataka,Upadhyay Inc
Painter,Daily,expert,Bengaluru,Karnataka,Bhakta-Raman
Painter,Daily,beginner,Bengaluru,Karnataka,Golla-Bath
Painter,Daily,expert,Mumbai Metropolitan Region,Maharashtra,"Reddy, Sathe and Kumer"
Painter,Daily,expert,Mumbai,Maharashtra,Hayre Group
Painter,Daily,expert,Bhopal,Madhya Pradesh,Ahluwalia-Yogi
Painter,Daily,expert,Mumbai,Maharashtra,Raju PLC
Painter,Bi-Weekly,beginner,Bengaluru,Karnataka,Sankar-Hayer
Painter,Daily,expert,Mumbai,Maharashtra,Ray-D’Alia
Painter,Daily,expert,Surat,Gujarat,Gara-Chhabra
Painter,Daily,expert,Bengaluru,Karnataka,Bal-Lad
Painter,Daily,expert,Kolkata,West Bengal,Bedi LLC
Painter,Daily,expert,Jaipur,Rajasthan,"Jhaveri, Rau and Baria"
Painter,Daily,expert,Bengaluru,Karnataka,Keer-Tank
Painter,Daily,expert,Bengaluru,Karnataka,Ghosh Ltd
Painter,Daily,expert,Bengaluru,Karnataka,"Walia, Ray and Kata"
Painter,Daily,beginner,Pune,Maharashtra,"Roy, Mandal and Borah"
Painter,Daily,expert,Chandigarh,Chandigarh,"Singh, Barad and Thakkar"
Painter,Daily,expert,Bengaluru,Karnataka,Lad LLC
Painter,Daily,beginner,Trivandrum,Kerala,Manda-Chauhan
Painter,Daily,expert,Bengaluru,Karnataka,Upadhyay-Dixit
Painter,Daily,expert,Hyderabad,Telangana,Sood-Lad
Painter,Daily,beginner,Coimbatore,Tamil Nadu,Apte-Dara
Painter,Daily,expert,Delhi Cantonment,Delhi,"Sekhon, Kari and Boase"
Painter,Daily,beginner,Thane,Maharashtra,Sehgal PLC
Painter,Daily,beginner,Bengaluru,Karnataka,Rao PLC
Brick Layer,Daily,expert,Pune,Maharashtra,Thakur-Dixit
Painter,Daily,beginner,Ahmedabad,Gujarat,Ratti LLC
Brick Layer,Bi-Weekly,beginner,Bengaluru,Karnataka,Chand-Sodhi
Painter,Daily,beginner,Bengaluru,Karnataka,Sabharwal-Wason
Brick Layer,Daily,beginner,Navi Mumbai,Maharashtra,"Sarraf, Shah and Hora"
Brick Layer,Daily,beginner,Ahmedabad,Gujarat,Cherian Inc
Brick Layer,Daily,beginner,Bengaluru,Karnataka,Bansal-Vasa
Painter,Bi-Weekly,novice,Bengaluru,Karnataka,Sarna and Sons
Painter,Daily,beginner,Greater Kolkata Area,West Bengal,"Choudhury, Varghese and Dhaliwal"
Painter,Daily,expert,Bengaluru,Karnataka,"Saran, Suresh and Buch"
Painter,Daily,beginner,Navi Mumbai,Maharashtra,Shankar Ltd
Painter,Daily,expert,Bengaluru,Karnataka,"Raval, Mander and Dhar"
Painter,Bi-Weekly,beginner,Bengaluru,Karnataka,Balan Group
Painter,Bi-Weekly,novice,Bengaluru,Karnataka,Handa and Sons
Painter,Daily,expert,Bengaluru,Karnataka,Yohannan PLC
Painter,Daily,expert,Noida,Uttar Pradesh,Rout-Kurian
Brick Layer,,beginner,Bangalore Urban,Karnataka,"Sastry, Saha and Raval"
Painter,Daily,beginner,Bengaluru,Karnataka,"Walla, Yohannan and Bhatt"
Painter,Daily,expert,Gurgaon,Haryana,Khurana-Doshi
Brick Layer,Bi-Weekly,beginner,Gurugram,Haryana,Wali PLC
Painter,Daily,expert,Nagpur,Maharashtra,Tank Group
Painter,Daily,expert,New Delhi,Delhi,"Vig, Srinivas and Kashyap"
Brick Layer,Daily,beginner,Bengaluru,Karnataka,"Dalal, Kumer and Chaudry"
Painter,Daily,expert,Chennai,Tamil Nadu,"Wadhwa, Som and Bhatt"
Painter,Daily,novice,Hyderabad,Telangana,"Chander, Rattan and Gara"
Painter,Daily,beginner,Ahmedabad,Gujarat,"Mani, Rajan and Chatterjee"
Brick Layer,Daily,expert,Bengaluru,Karnataka,Shanker-Rana
Brick Layer,Daily,beginner,Mumbai,Maharashtra,"Deshpande, Tripathi and Kapadia"
Brick Layer,Daily,beginner,Noida,Uttar Pradesh,Magar and Sons
Painter,Daily,beginner,Bengaluru,Karnataka,Zacharia-Verma
Painter,Daily,beginner,Bangalore Urban,Karnataka,Chandra Group
Painter,Daily,beginner,Nagpur,Maharashtra,"Khosla, Chad and Solanki"
Brick Layer,Daily,expert,Pune,Maharashtra,Rana Inc
Painter,Daily,beginner,Bengaluru,Karnataka,Kota and Sons
Painter,Bi-Weekly,beginner,Bengaluru,Karnataka,Ram-Sharma
Painter,Daily,expert,Hyderabad,Telangana,Kari Group
Painter,Daily,novice,Bengaluru,Karnataka,"Walla, Ratta and Dani"
Painter,Daily,expert,Ahmedabad,Gujarat,"Zachariah, Dua and Dugal"
Painter,Daily,expert,Bengaluru,Karnataka,Mand-Chakraborty
Painter,Daily,expert,Chennai,Tamil Nadu,Kumar-Chaudhry
Brick Layer,Bi-Weekly,expert,Delhi,Delhi,Vora-Ganesan
Painter,Daily,novice,Chennai,Tamil Nadu,Boase and Sons
Brick Layer,Daily,beginner,Chennai,Tamil Nadu,Swaminathan-Sant
Brick Layer,Daily,beginner,Mumbai,Maharashtra,Devan LLC
Painter,Daily,beginner,Gurugram,Haryana,Tiwari and Sons
Painter,Daily,expert,Bangalore Urban,Karnataka,Gade-Koshy
Painter,Daily,beginner,Hyderabad,Telangana,Krishna LLC
Painter,Daily,beginner,Kalyan,Maharashtra,Vyas-Kohli
Painter,Daily,expert,Pune,Maharashtra,Chawla PLC
Painter,Daily,expert,Chennai,Tamil Nadu,Walla-Chander
Painter,Daily,expert,Pune,Maharashtra,Khurana-Sibal
Brick Layer,Daily,expert,Chennai,Tamil Nadu,Shroff-Sankaran
Brick Layer,Daily,beginner,Bengaluru,Karnataka,"Lala, Dhar and Chander"
Painter,Daily,expert,Chennai,Tamil Nadu,Guha-Sampath
Brick Layer,Daily,beginner,Dehradun,Uttarakhand,"Chaudhary, Sur and Lala"
Painter,Daily,novice,Bengaluru,Karnataka,Dhar and Sons
Painter,Daily,expert,Hyderabad,Telangana,"Mahajan, Sawhney and Kant"
Painter,Daily,expert,Bengaluru,Karnataka,Swamy LLC
Brick Layer,Daily,beginner,Mohali district,North West,Shah Group
Painter,Daily,beginner,Kozhikode,Kerala,Chand Inc
Brick Layer,Bi-Weekly,expert,Greater Bengaluru Area,Karnataka,"Bal, Balan and Kohli"
Painter,Daily,novice,New Delhi,Delhi,Datta Ltd
Brick Layer,Daily,beginner,Hyderabad,Telangana,"Bhattacharyya, Gola and Acharya"
Painter,Daily,beginner,Bengaluru,Karnataka,Bora-Sangha
Painter,Daily,beginner,Mumbai,Maharashtra,Gola-Loke
Brick Layer,Daily,beginner,Kolkata,West Bengal,Bhatnagar LLC
Painter,Daily,expert,Ludhiana,Punjab,"Tank, Chaudhuri and Kashyap"
Painter,Daily,beginner,Tenkasi,Tamil Nadu,Aurora Group
Painter,Daily,novice,Bengaluru,Karnataka,"Mammen, Thaman and Rau"
Painter,Daily,expert,Amritsar,Punjab,Ganesan-Mane
Painter,Daily,expert,Patna,Bihar,"Loke, Chada and Kadakia"
Painter,Daily,expert,Noida,Uttar Pradesh,"Hayre, Batta and De"
Painter,Daily,novice,Bengaluru,Karnataka,Karan LLC
Painter,Daily,beginner,Navi Mumbai,Maharashtra,Rama Group
Painter,Daily,beginner,Bengaluru,Karnataka,Bhattacharyya-De
Brick Layer,Bi-Weekly,expert,Bengaluru,Karnataka,Contractor Ltd
Painter,Daily,expert,Kolkata,West Bengal,Dani LLC
Painter,Daily,expert,Chandigarh,Chandigarh,"Baral, Manda and Ramaswamy"
Painter,Daily,beginner,Vadodara,Gujarat,Choudhury Inc
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Randhawa-Krishnan
Brick Layer,Daily,beginner,Noida,Uttar Pradesh,Sandhu Group
Painter,Daily,beginner,Greater Bengaluru Area,Karnataka,Dass PLC
Painter,Daily,expert,Jaipur,Rajasthan,"Shere, Bora and Lal"
Painter,Daily,novice,Patna,Bihar,Kamdar-Sanghvi
Painter,Daily,expert,Mumbai Metropolitan Region,Maharashtra,"Buch, Sarna and Johal"
Painter,Daily,beginner,Bengaluru,Karnataka,Char-Uppal
Painter,Daily,beginner,Ahmedabad,Gujarat,Kaur-Ahuja
Painter,Daily,beginner,Patna,Bihar,Goyal LLC
Painter,Daily,expert,Mumbai,Maharashtra,Mallick-Chaudry
Painter,Daily,expert,New Delhi,Delhi,Doshi-Kanda
Painter,Daily,novice,Mumbai,Maharashtra,Dara-Deshpande
Painter,Daily,expert,Hyderabad,Telangana,Sane-Bumb
Painter,Daily,novice,Kolkata,West Bengal,"Sabharwal, Yadav and Wable"
Brick Layer,Daily,beginner,Ahmedabad,Gujarat,Seshadri-Kari
Brick Layer,Daily,beginner,Noida,Uttar Pradesh,Dugal Inc
Painter,Daily,expert,Hyderabad,Telangana,"Bail, Kashyap and Walla"
Brick Layer,Daily,expert,Bengaluru,Karnataka,Datta-Dyal
Painter,Daily,novice,Pune,Maharashtra,Tata-Shetty
Painter,Daily,expert,Bengaluru,Karnataka,Kalita and Sons
Painter,Daily,beginner,New Delhi,Delhi,"Rau, Soman and Kapur"
Painter,Daily,expert,Bhopal,Madhya Pradesh,Basak Inc
Painter,Daily,beginner,Hyderabad,Telangana,Sangha Group
Painter,Daily,beginner,Mumbai,Maharashtra,"Chada, Ganesan and Savant"
Painter,Daily,beginner,Chennai,Tamil Nadu,"Chaudhry, Agrawal and Saini"
Painter,Daily,beginner,Hyderabad,Telangana,Biswas Ltd
Brick Layer,Daily,beginner,Pune,Maharashtra,Kurian Ltd
Painter,Daily,beginner,Bengaluru,Karnataka,Tak LLC
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Thakur PLC
Painter,Daily,expert,Hyderabad,Telangana,Hayre Inc
Brick Layer,Daily,beginner,Bengaluru,Karnataka,Reddy Ltd
Painter,Daily,beginner,Bengaluru,Karnataka,"Golla, Dora and Chaudhari"
Painter,Daily,beginner,Pune,Maharashtra,"Sangha, Khatri and Konda"
Painter,Daily,beginner,Pune,Maharashtra,Sampath-Kumer
Painter,Daily,beginner,Pune,Maharashtra,"Vig, Chandra and Kibe"
Painter,Daily,expert,Hyderabad,Telangana,"Sami, Sethi and Sawhney"
Brick Layer,Daily,beginner,Ahmedabad,Gujarat,Handa LLC
Brick Layer,Daily,beginner,Bengaluru,Karnataka,Mangat-Banerjee
Brick Layer,Daily,beginner,Bengaluru,Karnataka,Gole-Jain
Painter,Daily,expert,Thiruvananthapuram,Kerala,Lalla-Bahl
Painter,Daily,expert,Hyderabad,Telangana,Issac-Barad
Painter,Daily,expert,Bhopal,Madhya Pradesh,Kunda-Din
Painter,Daily,expert,Bengaluru,Karnataka,Zachariah and Sons
Painter,Daily,expert,Bangalore Urban,Karnataka,Raman Inc
Painter,Daily,expert,Gurugram,Haryana,"Bhalla, Thaker and Chahal"
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Garg Inc
Painter,Daily,expert,Noida,Uttar Pradesh,Kata-Keer
Painter,Daily,expert,Bangalore Urban,Karnataka,Mand PLC
Painter,Daily,expert,Bengaluru,Karnataka,"Basak, Dar and Roy"
Painter,Daily,novice,Mumbai,Maharashtra,Vala PLC
Painter,Daily,expert,Bengaluru,Karnataka,Bora-Deshmukh
Painter,Daily,expert,Bengaluru,Karnataka,"Brar, Gade and Chaudhuri"
Painter,Daily,expert,Bengaluru,Karnataka,Rau-Suri
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Yohannan LLC
Painter,Daily,beginner,Bengaluru,Karnataka,Chana-Mallick
Painter,Daily,beginner,Gurugram,Haryana,"Seshadri, Karan and Sem"
Painter,Daily,expert,Chennai,Tamil Nadu,Singhal-Gera
Painter,Daily,expert,Bengaluru,Karnataka,Ganguly-Viswanathan
Painter,Daily,beginner,Sahibzada Ajit Singh Nagar,Punjab,Sama-Dayal
Painter,Daily,novice,Noida,Uttar Pradesh,Shankar Inc
Painter,Daily,expert,Bengaluru,Karnataka,"Sandal, Sekhon and Jhaveri"
Painter,,beginner,Bengaluru,Karnataka,Sastry Ltd
Painter,Daily,novice,Chennai,Tamil Nadu,"Toor, Setty and Sachdev"
Painter,Daily,beginner,Hyderabad,Telangana,Shetty-Ramanathan
Painter,Daily,expert,Bengaluru,Karnataka,"Mahajan, Arora and Sharma"
Painter,Daily,expert,Bengaluru,Karnataka,Manda Group
Painter,Daily,beginner,Bengaluru,Karnataka,Barad-Chana
Painter,Daily,expert,Kochi,Kerala,Dugar-Gera
Painter,Daily,expert,Bengaluru,Karnataka,"Sethi, Borde and Chanda"
Painter,Daily,beginner,Hyderabad,Telangana,Contractor-Contractor
Painter,Daily,beginner,Ahmedabad,Gujarat,Saran PLC
Painter,Daily,beginner,Bengaluru,Karnataka,Karpe-Hans
Painter,Daily,expert,Bengaluru,Karnataka,Deol and Sons
Painter,Daily,expert,Pune,Maharashtra,Borah and Sons
Painter,Daily,novice,Delhi,Delhi,Chaudhry-Koshy
Painter,Daily,beginner,Pune,Maharashtra,"Ramakrishnan, D’Alia and Venkatesh"
Painter,Daily,expert,Bangalore Urban,Karnataka,Tak-Mahal
Painter,Daily,beginner,Bengaluru,Karnataka,Devi PLC
Painter,Daily,expert,Bengaluru,Karnataka,Loke-Rana
Painter,Daily,beginner,Chennai,Tamil Nadu,Varma-Jhaveri
Painter,Daily,expert,Greater Bengaluru Area,Karnataka,Sengupta LLC
Painter,Daily,expert,Hyderabad,Telangana,"Sawhney, Dewan and Rajan"
Painter,Daily,beginner,Bengaluru,Karnataka,Sur-Raman
Painter,Daily,expert,Chennai,Tamil Nadu,Dugar-Dayal
Painter,Daily,novice,Bengaluru,Karnataka,"Balay, Sanghvi and Chauhan"
Painter,Daily,beginner,Hyderabad,Telangana,"Sarkar, Bajwa and D’Alia"
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Shroff PLC
Painter,Daily,expert,Chennai,Tamil Nadu,"Bahl, Shroff and Bansal"
Painter,Daily,expert,Mumbai,Maharashtra,Seth Inc
Painter,Daily,beginner,Bengaluru,Karnataka,Bava-Bobal
Painter,Daily,novice,Noida,Uttar Pradesh,"Bora, Borra and Manne"
Painter,Daily,novice,Chennai,Tamil Nadu,Ranganathan-Varkey
Painter,Daily,expert,Bengaluru,Karnataka,Seth-Venkataraman
Painter,Daily,beginner,Bengaluru,Karnataka,"Sridhar, Madan and Golla"
Painter,Daily,novice,Pune,Maharashtra,"Lad, Atwal and Maharaj"
Painter,Daily,novice,Bangalore Urban,Karnataka,Sankar-Dave
Painter,Daily,expert,Bengaluru,Karnataka,Sarma Inc
Painter,Daily,expert,Pune,Maharashtra,"Ganesan, Upadhyay and Chaudhuri"
Painter,Daily,expert,Chennai,Tamil Nadu,Sodhi Group
Painter,Daily,expert,Mumbai,Maharashtra,Borah-Lad
Painter,Daily,beginner,Bengaluru,Karnataka,Singhal-Rout
Painter,Daily,beginner,Bengaluru,Karnataka,"Barad, Brar and Chhabra"
Painter,Monthly,beginner,Bengaluru,Karnataka,"Rege, Sandal and Sengupta"
Painter,Daily,beginner,Ahmedabad,Gujarat,Sant Group
Painter,Daily,beginner,Bengaluru,Karnataka,"Sabharwal, Shere and Lal"
Painter,Daily,beginner,Bangalore Urban,Karnataka,"Ramaswamy, Mander and Ben"
Painter,Daily,novice,Noida,Uttar Pradesh,"Banerjee, Sidhu and Anand"
Painter,Daily,novice,Pune,Maharashtra,Khurana Inc
Painter,Daily,novice,Bengaluru,Karnataka,"Thaker, Krish and Vora"
Painter,Daily,novice,Bengaluru,Karnataka,"Shroff, Balan and Lalla"
Painter,Daily,expert,Chennai,Tamil Nadu,"Gala, Barad and Samra"
Painter,Daily,beginner,Ahmedabad,Gujarat,"Kala, Kota and Char"
Painter,Daily,beginner,Bengaluru,Karnataka,Sachar-Dada
Painter,Daily,beginner,Chennai,Tamil Nadu,Bali Group
Painter,Daily,expert,Bengaluru,Karnataka,Bhagat-Sani
Painter,Bi-Weekly,beginner,Bengaluru,Karnataka,"Kar, Sankar and Dara"
Painter,Daily,novice,Kolkata,West Bengal,Anand Group
Painter,Bi-Weekly,beginner,Hyderabad,Telangana,"Butala, Sarkar and Bahl"
Painter,Daily,expert,Pune,Maharashtra,"Konda, Goel and Kale"
Painter,Daily,beginner,Indore,Madhya Pradesh,Banerjee-Mall
Painter,Daily,beginner,Bengaluru,Karnataka,Buch-Sheth
Painter,Daily,beginner,Pune,Maharashtra,Thakkar-Sandhu
Painter,Daily,beginner,Bengaluru,Karnataka,Kanda Group
Painter,Daily,beginner,Mumbai Metropolitan Region,Maharashtra,Maharaj Ltd
Painter,Daily,beginner,Hyderabad,Telangana,Shankar PLC
Painter,Daily,expert,Delhi,Delhi,Dutt-Hegde
Painter,Daily,expert,Bangalore Urban,Karnataka,"Bhatt, Sahota and Tara"
Painter,Daily,beginner,Greater Bengaluru Area,Karnataka,Upadhyay-Bains
Brick Layer,Daily,novice,Chennai,Tamil Nadu,Dugal-Agate
Painter,Daily,expert,Chennai,Tamil Nadu,Kuruvilla LLC
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Mahajan Group
Brick Layer,Daily,beginner,Bengaluru,Karnataka,Dora Inc
Painter,Daily,novice,Bengaluru,Karnataka,"Seshadri, Apte and Grover"
Painter,Daily,novice,Bengaluru,Karnataka,Bhatia-Aurora
Painter,Daily,beginner,Mumbai,Maharashtra,"Vasa, Dalal and Dewan"
Painter,Daily,beginner,Chennai,Tamil Nadu,Ramanathan PLC
Painter,Daily,expert,Hyderabad,Telangana,Aurora-Varty
Painter,Daily,novice,Pune,Maharashtra,Balakrishnan-Sanghvi
Painter,Daily,expert,Hyderabad,Telangana,"Sagar, Ahluwalia and Mani"
Painter,Daily,beginner,Hyderabad,Telangana,Rama Ltd
Painter,Daily,beginner,Mumbai Metropolitan Region,Maharashtra,Roy and Sons
Painter,Daily,expert,Mumbai,Maharashtra,Bhatnagar Ltd
Painter,Daily,expert,Pune,Maharashtra,Kant LLC
Painter,Daily,novice,Bengaluru,Karnataka,"Comar, Dhingra and Rastogi"
Painter,Daily,expert,Pune,Maharashtra,Cheema-Goda
Brick Layer,Daily,novice,Bengaluru,Karnataka,"Tak, Sharma and Bhattacharyya"
Painter,Daily,beginner,Hyderabad,Telangana,Chahal Ltd
Painter,Daily,expert,Indore,Madhya Pradesh,Garg-Bala
Painter,Daily,expert,Hyderabad,Telangana,Rajagopalan-Karan
Painter,Daily,beginner,Hyderabad,Telangana,Kibe-Mani
Painter,Daily,expert,Bengaluru,Karnataka,Mallick-Chopra
Painter,Daily,beginner,Bengaluru,Karnataka,Mander Ltd
Brick Layer,Daily,expert,Bengaluru,Karnataka,Setty and Sons
Painter,Daily,beginner,Bengaluru,Karnataka,Majumdar PLC
Painter,Daily,expert,Bengaluru,Karnataka,Som Inc
Painter,Daily,expert,Bengaluru,Karnataka,"Dani, Tripathi and Varma"
Painter,Daily,beginner,Noida,Uttar Pradesh,Karnik-Sachar
Painter,Bi-Weekly,beginner,Bengaluru,Karnataka,Das-Bawa
Painter,Daily,beginner,Pune/Pimpri-Chinchwad Area,Maharashtra,Devi-Gokhale
Painter,Daily,expert,Hyderabad,Telangana,Kata-Baral
Painter,Daily,novice,Kochi,Kerala,"Chadha, Wadhwa and Borah"
Painter,Daily,beginner,Bengaluru,Karnataka,"Yogi, Kala and Talwar"
Painter,Daily,expert,Bengaluru,Karnataka,Sarraf Group
Painter,Daily,expert,Bengaluru,Karnataka,Upadhyay Inc
Painter,Daily,expert,Bengaluru,Karnataka,"Chad, Sankar and Tripathi"
